"id","prcp","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"US1NJBG0023",39.618,41.0191,-74.2334,149.4,"NJ","OAKLAND 0.9 SSE","","","PRCP",2008,2023
"US1NJBG0030",36.542,41.0253,-74.2236,109.4,"NJ","OAKLAND 1.0 ESE","","","PRCP",2011,2023
"US1NJES0018",33.315,40.7245,-74.2595,72.5,"NJ","MAPLEWOOD TWP 0.9 SE","","","PRCP",2012,2023
"US1NJES0024",37.9177777777778,40.8557,-74.2356,108.5,"NJ","CEDAR GROVE TWP 0.4 W","","","PRCP",2014,2023
"US1NJHN0003",39.068,40.6418,-74.8827,94.2,"NJ","CLINTON 1.6 ENE","","","PRCP",2008,2023
"US1NJHN0007",36.895,40.66,-75.008,283.8,"NJ","BETHLEHEM TWP 0.6 S","","","PRCP",2008,2023
"US1NJHN0012",40.012,40.6317,-75.1045,239,"NJ","HOLLAND TWP 2.6 NNE","","","PRCP",2008,2023
"US1NJHN0015",39.0444444444444,40.5091,-74.8549,54.6,"NJ","FLEMINGTON 0.3 E","","","PRCP",2009,2022
"US1NJHN0018",39.897,40.6872,-74.8575,186.8,"NJ","CLINTON TWP 3.9 N","","","PRCP",2009,2023
"US1NJHN0019",36.762,40.6064,-74.871,83.8,"NJ","LEBANON 3.2 SW","","","PRCP",2009,2023
"US1NJHN0021",35.536,40.6841,-74.8389,193.9,"NJ","LEBANON 2.8 N","","","PRCP",2009,2023
"US1NJHN0031",38.93,40.5342,-75.0559,88.4,"NJ","FRENCHTOWN 0.5 N","","","PRCP",2012,2023
"US1NJMD0009",38.0025,40.4099,-74.573,67.1,"NJ","SOUTH BRUNSWICK TWP 3.1 NW","","","PRCP",2008,2023
"US1NJMD0028",37.542,40.4897,-74.4409,12.5,"NJ","NEW BRUNSWICK 0.3 NE","","","PRCP",2010,2023
"US1NJMD0043",40.945,40.5554,-74.274,4,"NJ","WOODBRIDGE TWP 1.1 ESE","","","PRCP",2012,2023
"US1NJMD0045",40.606,40.5759,-74.2847,21.6,"NJ","WOODBRIDGE TWP 1.1 NNE","","","PRCP",2012,2023
"US1NJMD0062",40.0955555555556,40.4562,-74.2413,7.6,"NJ","OLD BRIDGE TWP 5.1 NE","","","PRCP",2014,2023
"US1NJMD0063",34.7733333333333,40.4437,-74.3844,19.5,"NJ","SOUTH RIVER 0.3 WSW","","","PRCP",2014,2023
"US1NJMS0006",38.648,40.9018,-74.5189,216.1,"NJ","ROCKAWAY 0.4 NNW","","","PRCP",2008,2023
"US1NJMS0011",35.964,40.9096,-74.4141,188.7,"NJ","BOONTON 0.6 NW","","","PRCP",2008,2023
"US1NJMS0018",36.1133333333333,41.0127,-74.5103,238,"NJ","JEFFERSON TWP 2.4 ENE","","","PRCP",2009,2022
"US1NJMS0023",44.085,40.8821,-74.5944,271.9,"NJ","MINE HILL TWP 0.4 NE","","","PRCP",2010,2023
"US1NJMS0040",41.318,40.7481,-74.3908,58.8,"NJ","CHATHAM 0.6 NW","","","PRCP",2010,2023
"US1NJMS0049",39.7942857142857,40.778,-74.3992,62.5,"NJ","FLORHAM PARK 0.2 WNW","","","PRCP",2011,2020
"US1NJMS0054",31.841,40.8675,-74.7536,293.5,"NJ","MOUNT OLIVE TWP 0.6 W","","","PRCP",2012,2023
"US1NJMS0059",40.3366666666667,40.7524,-74.4297,108.8,"NJ","MADISON 0.8 WSW","","","PRCP",2014,2023
"US1NJMS0061",39.94,40.7853,-74.8612,224.9,"NJ","WASHINGTON TWP 3.6 W","","","PRCP",2012,2023
"US1NJMS0071",38.5444444444444,40.8805,-74.4631,161.5,"NJ","DENVILLE TWP 1.5 ESE","","","PRCP",2014,2023
"US1NJPS0012",42.334,40.8796,-74.227,58.5,"NJ","LITTLE FALLS TWP 0.5 WNW","","","PRCP",2009,2023
"US1NJPS0022",38.913,41.0653,-74.2571,185.9,"NJ","RINGWOOD 3.0 SSE","","","PRCP",2011,2023
"US1NJSM0004",34.733,40.6834,-74.5731,92.7,"NJ","BERNARDS TWP 0.6 NNW","","","PRCP",2008,2023
"US1NJSM0005",37.286,40.6262,-74.6535,32.9,"NJ","BRIDGEWATER TWP 3.3 NW","","","PRCP",2008,2023
"US1NJSM0011",40.401,40.6563,-74.6305,157.3,"NJ","BEDMINSTER TWP 2.9 ESE","","","PRCP",2009,2023
"US1NJSM0039",41.55,40.5462,-74.5287,15.5,"NJ","FRANKLIN TWP 4.6 NNW","","","PRCP",2012,2020
"US1NJSM0056",39.301,40.4079,-74.6199,48.5,"NJ","FRANKLIN TWP 5.9 SW","","","PRCP",2014,2023
"US1NJSS0001",35.53,41.0197,-74.7611,202.1,"NJ","ANDOVER TWP 1.7 W","","","PRCP",2008,2023
"US1NJSS0007",38.25,41.089,-74.5399,323.4,"NJ","HARDYSTON TWP 3.2 SE","","","PRCP",2008,2023
"US1NJSS0028",33.69,41.3037,-74.7808,198.1,"NJ","MONTAGUE TWP 2.7 WNW","","","PRCP",2011,2023
"US1NJUN0010",38.365,40.6945,-74.3898,113.1,"NJ","NEW PROVIDENCE 0.8 ESE","","","PRCP",2009,2023
"US1NJUN0017",36.396,40.6722,-74.3096,21.9,"NJ","CRANFORD TWP 1.1 NNW","","","PRCP",2012,2023
"US1NJWR0001",37.335,40.6554,-75.1167,118.6,"NJ","GREENWICH TWP 1.6 S","","","PRCP",2008,2023
"US1NJWR0005",36.965,40.8515,-74.8403,170.1,"NJ","HACKETTSTOWN 0.8 W","","","PRCP",2008,2023
"US1NJWR0023",36.348,40.7964,-75.0447,270.7,"NJ","WHITE TWP 1.7 S","","","PRCP",2011,2023
"US1NYAL0002",24.148,42.2705,-77.9419,555.7,"NY","WEST ALMOND 3.6 SW","","","PRCP",2009,2023
"US1NYBM0004",26.34,42.0296,-76.0213,317,"NY","ENDICOTT 5.2 SSE","","","PRCP",2004,2023
"US1NYBM0014",27.436,42.3084,-75.9569,385.9,"NY","WHITNEY POINT 1.7 SSE","","","PRCP",2007,2023
"US1NYBM0024",24.729,42.1098,-75.8858,259.4,"NY","BINGHAMTON 1.3 ENE","","","PRCP",2011,2023
"US1NYCM0003",21.89,42.0839,-76.7881,256,"NY","ELMIRA 1.3 ESE","","","PRCP",2004,2021
"US1NYCM0021",24.0433333333333,42.1021,-76.8304,284.1,"NY","ELMIRA 1.2 WNW","","","PRCP",2014,2023
"US1NYCR0003",33.676,42.4739,-75.8725,427.3,"NY","WILLET 1.8 E","","","PRCP",2004,2023
"US1NYCR0005",30.1833333333333,42.4516,-76.0437,313.9,"NY","MARATHON 1.0 NW","","","PRCP",2008,2022
"US1NYDL0005",29.68,42.3003,-74.9026,462.1,"NY","DELHI 1.5 NNE","","","PRCP",2005,2021
"US1NYDL0025",30.752,42.3523,-74.5783,676.7,"NY","HOBART 4.8 ESE","","","PRCP",2012,2023
"US1NYOR0004",33.833,41.2684,-74.416,189.3,"NY","WARWICK 3.2 WNW","","","PRCP",2010,2023
"US1NYST0003",19.911,42.0567,-77.0485,527.3,"NY","SOUTH CORNING 4.7 S","","","PRCP",2007,2023
"US1NYST0030",18.653,42.1573,-77.06,286.2,"NY","CORNING 0.7 NNW","","","PRCP",2010,2023
"US1NYSV0008",41.62,41.5739,-74.4871,163.7,"NY","WURTSBORO 0.2 SSW","","","PRCP",2011,2020
"US1NYSY0001",23.725,42.3907,-76.7176,426.1,"NY","SMITH VALLEY 1.9 SE","","","PRCP",2007,2023
"US1NYTG0015",30.911,42.3191,-76.2194,470.9,"NY","BERKSHIRE 1.9 ENE","","","PRCP",2008,2023
"US1NYTM0023",28.543,42.5021,-76.418,352,"NY","FREEVILLE 3.7 W","","","PRCP",2008,2023
"US1PABR0012",34.294,40.5517,-75.7651,154.5,"PA","KUTZTOWN 2.2 NNE","","","PRCP",2008,2023
"US1PABR0021",34.612,40.4651,-75.6682,305.4,"PA","ALBURTIS 4.7 SW","","","PRCP",2012,2023
"US1PABR0025",35.6366666666667,40.5665,-75.9862,164.3,"PA","HAMBURG 0.7 NNW","","","PRCP",2014,2023
"US1PACB0004",40.238,40.839,-75.5185,207.9,"PA","PALMERTON 5.8 ENE","","","PRCP",2006,2023
"US1PACB0012",34.373,40.779,-75.7113,159.1,"PA","BOWMANSTOWN 3.0 WSW","","","PRCP",2006,2023
"US1PACB0018",34.275,40.8119,-75.7736,182.9,"PA","LEHIGHTON 3.3 WSW","","","PRCP",2006,2023
"US1PACN0003",26.649,40.8067,-77.8167,334.1,"PA","STATE COLLEGE 2.4 ENE","","","PRCP",2005,2023
"US1PACN0005",29.66,40.8162,-77.8954,376.4,"PA","STATE COLLEGE 2.6 NW","","","PRCP",2002,2023
"US1PACN0010",30.952,40.9249,-77.6869,309.1,"PA","BELLEFONTE 4.3 E","","","PRCP",2007,2023
"US1PACN0018",31.695,40.7912,-78.0118,419.1,"PA","PORT MATILDA 2.2 ESE","","","PRCP",2009,2023
"US1PAEL0001",32.34,41.4107,-78.5348,554.1,"PA","ST. MARYS 1.7 SE","","","PRCP",2005,2022
"US1PAER0005",28.943,42.2206,-79.8551,230.4,"PA","NORTH EAST 1.2 WNW","","","PRCP",2008,2023
"US1PAFR0001",31.8055555555556,41.394,-79.4131,488.3,"PA","TIONESTA 7.3 SSE","","","PRCP",2014,2023
"US1PAJF0003",35.1471428571429,41.0872,-79.1032,460.6,"PA","BROOKVILLE 5.3 SSW","","","PRCP",2014,2021
"US1PALH0005",35.845,40.6474,-75.6505,143.9,"PA","SCHNECKSVILLE 2.7 SW","","","PRCP",2007,2023
"US1PALY0002",24.38,41.2571,-77.0085,178,"PA","WILLIAMSPORT 2.0 NE","","","PRCP",2008,2023
"US1PALZ0006",31.773,41.0167,-76,339.9,"PA","WEST HAZLETON 3.2 NNE","","","PRCP",2004,2023
"US1PALZ0024",29.276,41.2949,-75.8682,170.1,"PA","FORTY FORT 0.4 NNE","","","PRCP",2012,2023
"US1PANH0008",35.193,40.7828,-75.1827,69.5,"PA","MARTINS CREEK 0.2 E","","","PRCP",2011,2023
"US1PAPT0002",30.809,41.8076,-78.1414,495.3,"PA","ROULETTE 1.8 NNE","","","PRCP",2009,2023
"US1PASN0002",28.296,40.8173,-76.9097,178.6,"PA","SELINSGROVE 2.6 WNW","","","PRCP",2012,2023
"US1PASS0006",33.772,41.65,-75.4667,518.2,"PA","FOREST CITY 0.2 SE","","","PRCP",2007,2023
"US1PASS0012",28.9028571428571,41.9518,-75.8272,308.5,"PA","STANFORDVILLE 0.4 SE","","","PRCP",2008,2020
"US1PAVN0011",37.4922222222222,41.567,-79.7639,395.9,"PA","TITUSVILLE 6.3 SW","","","PRCP",2014,2023
"US1PAWN0004",33.583,41.3528,-75.4358,271.3,"PA","MOSCOW 4.9 E","","","PRCP",2007,2023
"US1PAWN0010",30.896,41.8992,-75.4718,405.1,"PA","STARRUCCA - 27","","","PRCP",2007,2023
"US1PAWN0012",33.547,41.6384,-75.2994,374.9,"PA","DYBERRY 2.1 W","","","PRCP",2007,2023
"US1PAWN0013",31.686,41.5027,-75.159,323.4,"PA","HAWLEY - 15","","","PRCP",2001,2023
"US1PAWN0026",34.706,41.5902,-75.359,384.7,"PA","CANAAN - 11","","","PRCP",2008,2023
"US1PAWN0035",34.121,41.5824,-75.3357,364.5,"PA","PROMPTON - 25","","","PRCP",2008,2023
"US1PAWN0037",31.66125,41.625,-75.222,420,"PA","OREGON - 23","","","PRCP",2008,2020
"USC00280734",33.016,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00280907",33.942,40.8917,-74.3964,85.3,"NJ","BOONTON 1 SE","","HCN","TMAX",1893,2023
"USC00280927",31.491,40.5561,-74.5717,16.8,"NJ","BOUND BROOK 2W","","","PRCP",1956,2023
"USC00281335",34.005,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00283029",39.2,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00286055",40.757,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00286979",36.954,40.6956,-75.2,70.7,"NJ","PHILLIPSBURG-EASTON BRG","","","TMAX",2011,2023
"USC00287486",38.543,40.5944,-75.1897,47.9,"NJ","RIEGELSVILLE","","","PRCP",2011,2023
"USC00288644",29.345,41.2186,-74.6211,190.8,"NJ","SUSSEX 1 NW","","","TMAX",1893,2023
"USC00289363",38.131,40.4519,-74.7792,86.3,"NJ","WERTSVILLE 4 NE","","","TMAX",1995,2023
"USC00300023",19.8257142857143,42.1014,-77.2344,304.5,"NY","ADDISON","","HCN","TMAX",1893,2020
"USC00300085",25.412,42.2797,-77.7664,586.4,"NY","ALFRED","","HCN","TMAX",1893,2023
"USC00300093",30.547,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",26.448,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00301102",34.189,41.8275,-74.9506,372.2,"NY","CALLICOON CTR","","","TMAX",2011,2023
"USC00301168",27.6814285714286,42.1944,-76.3128,280.4,"NY","CANDOR 2SE","","","PRCP",1944,2020
"USC00301787",24.315,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",31.9885714285714,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302197",34.24125,42.4717,-79.3336,192.3,"NY","DUNKIRK","","","PRCP",2009,2023
"USC00302454",28.261,42.3328,-75.2297,352,"NY","E SIDNEY","","","TMAX",2010,2023
"USC00302610",22.358,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",30.895,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303444",31.228,42.3242,-75.7708,280.4,"NY","GREENE","","","PRCP",1909,2023
"USC00303983",26.691,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","TMAX",2011,2023
"USC00304174",23.568,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",36.582,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
"USC00304731",33.417,41.8017,-74.74,481.6,"NY","LIBERTY 1 NE","","","TMAX",1898,2023
"USC00304808",32.544,42.2472,-78.8125,495.3,"NY","LITTLE VALLEY","","","TMAX",1941,2023
"USC00305113",28.61,42.4694,-75.0106,373.4,"NY","EMMONS","","HCN","TMAX",1983,2022
"USC00305233",25.484,42.4422,-76.7586,460.2,"NY","MECKLENBURG 4SW","","","TMAX",2003,2023
"USC00306196",27.225,42.0736,-78.4517,432.8,"NY","OLEAN","","","TMAX",1927,2023
"USC00306525",51.784,42.4647,-79.0031,368.8,"NY","PERRYSBURG","","","TMAX",2011,2023
"USC00306570",44.687,42.0675,-74.3356,323.1,"NY","PHONECIA 2SW","","","PRCP",2011,2023
"USC00306747",28.949,42.3717,-79.4867,246.3,"NY","PORTLAND 1 SW","","","TMAX",2011,2023
"USC00306774",29.922,41.3892,-74.6906,176.8,"NY","PORT JERVIS","","HCN","TMAX",1893,2023
"USC00307329",28.189,42.3914,-78.2483,463.9,"NY","RUSHFORD","","","PRCP",1954,2023
"USC00308932",33.574,42.1847,-75.1456,451.1,"NY","WALTON 2","","","TMAX",1997,2023
"USC00309047",21.6788888888889,42.0019,-76.525,243.8,"NY","WAVERLY","","","TMAX",1893,2023
"USC00309072",24.08,42.1172,-77.9475,460.2,"NY","WELLSVILLE","","","TMAX",1980,2023
"USC00309425",22.31,42.0597,-77.7553,661.4,"NY","WHITESVILLE 1N","","","PRCP",1954,2023
"USC00309442",26.222,42.3419,-75.9653,317,"NY","WHITNEY PT DAM","","","TMAX",2011,2023
"USC00360022",34.963,40.5361,-79.8153,228,"PA","ACMETONIA LOCK 3","","","TMAX",1978,2023
"USC00360132",29.87,40.4189,-78.4197,359.7,"PA","ALTOONA 7 SW","","","TMAX",2001,2023
"USC00360140",32.341,40.495,-78.4667,402.3,"PA","ALTOONA 3 W","","","TMAX",1967,2023
"USC00360457",32.02,40.8208,-76.4983,309.4,"PA","BEAR GAP","","","TMAX",1948,2023
"USC00360861",29.639,40.3917,-79.8594,222.5,"PA","BRADDOCK LOCK 2","","","TMAX",1977,2023
"USC00360868",36.458,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5","","","TMAX",1941,2023
"USC00361212",25.325,41.6517,-76.8464,347.5,"PA","CANTON","","","TMAX",1976,2023
"USC00361362",35.704,41.93,-79.2969,454.2,"PA","CHANDLERS VALLEY 1SE","","","TMAX",2004,2023
"USC00361526",38.635,41.6997,-78.4978,634,"PA","CLERMONT 1 NW","","","TMAX",2000,2023
"USC00361802",29.566,41.7583,-78.0408,502.9,"PA","COUDERSPORT 1 SW","","","TMAX",2000,2023
"USC00361810",33.117,41.7392,-77.9711,655.3,"PA","COUDERSPORT 7SE","","","TMAX",2005,2023
"USC00361833",24.381,41.7375,-77.1158,531.9,"PA","COVINGTON 2 WSW","","","PRCP",1956,2023
"USC00361838",21.893,41.9906,-77.1567,350.5,"PA","COWANESQUE DAM","","","TMAX",1993,2023
"USC00362323",23.1022222222222,41.5217,-76.4042,466.3,"PA","DUSHORE","","","TMAX",2003,2023
"USC00362470",39.863,40.4681,-78.7308,591.3,"PA","EBENSBURG SEWAGE PLT","","","TMAX",1964,2023
"USC00362574",31,40.5044,-80.0889,218.5,"PA","EMSWORTH L/D OHIO RVR","","","TMAX",1991,2023
"USC00362942",33.427,40.715,-79.5133,283.5,"PA","FORD CITY 4 S DAM","","","TMAX",1943,2023
"USC00363028",34.893,41.4003,-79.8306,309.4,"PA","FRANKLIN","","HCN","TMAX",1897,2023
"USC00363130",28.263,41.7356,-77.6517,410,"PA","GALETON","","","PRCP",1931,2023
"USC00363311",33.223,41.5606,-78.5994,524.3,"PA","GLEN HAZEL 2 NE DAM","","","TMAX",1955,2023
"USC00363417",38.693,40.9667,-78.5872,460.2,"PA","GRAMPIAN 1E","","","TMAX",2010,2023
"USC00363632",35.47125,40.5517,-75.9911,112.5,"PA","HAMBURG","","","TMAX",1894,2021
"USC00364214",39.305,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
"USC00364432",38.41,41.6769,-78.8036,533.4,"PA","KANE 1NNE","","","TMAX",1894,2023
"USC00364815",35.034,41.4233,-76.4933,599.2,"PA","LAPORTE","","","TMAX",1991,2023
"USC00364934",34.666,40.8222,-75.6961,138.7,"PA","LEHIGHTON 1SSW","","","TMAX",1970,2023
"USC00364976",29.968,40.9475,-76.8786,152.4,"PA","LEWISBURG","","","TMAX",1996,2023
"USC00364992",29.881,40.5864,-77.5692,140.2,"PA","LEWISTOWN","","","TMAX",1938,2023
"USC00365109",26.838,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365212",34.299,40.4586,-79.4503,301.8,"PA","LOYALHANNA LAKE","","","TMAX",1989,2023
"USC00365344",35.387,40.8344,-76.1436,521.2,"PA","MAHANOY CITY 2 N","","","TMAX",2011,2023
"USC00365790",29.0111111111111,40.8847,-77.475,341.4,"PA","MILLHEIM","","","TMAX",2004,2023
"USC00366111",33.595,40.4119,-79.7244,262.1,"PA","MURRYSVILLE 2 SW","","","TMAX",2012,2023
"USC00366151",36.354,40.6142,-79.7192,231.6,"PA","NATRONA LOCK 4","","","TMAX",1977,2023
"USC00366649",26.0571428571429,41.9244,-78.0072,521.2,"PA","OSWAYO 1 ENE","","","TMAX",2006,2021
"USC00366921",30.697,40.8728,-78.2161,524.3,"PA","PHILIPSBURG 2 S","","","TMAX",1998,2023
"USC00367029",32.937,41.7394,-75.4464,548.6,"PA","PLEASANT MT 1 W","","HCN","TMAX",1951,2023
"USC00367103",29.293,41.8156,-78.2872,449.6,"PA","PORT ALLEGANY","","","TMAX",1969,2023
"USC00367167",27.738,40.6514,-78.555,463.3,"PA","PRINCE GALLITZIN SP","","","TMAX",1982,2023
"USC00367313",27.488,40.3814,-78.0753,303.3,"PA","RAYSTOWN HQ","","","TMAX",2012,2023
"USC00367409",27.526,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",34.594,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367782",35.723,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367863",33.152,40.6831,-79.6683,238.7,"PA","SCHENLEY LOCK 5","","","TMAX",2011,2023
"USC00367931",26.811,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368184",30.555,41.0561,-80.0594,384,"PA","SLIPPERY ROCK 1 SSW","","","TMAX",1949,2023
"USC00368400",40.871,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",29.779,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",28.94,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368596",36.53,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368668",28.084,40.8533,-76.7892,175.3,"PA","SUNBURY","","","TMAX",1957,2023
"USC00368692",29.277,41.9478,-75.6047,277.4,"PA","SUSQUEHANNA","","","PRCP",1935,2023
"USC00368763",34.3744444444444,40.8483,-75.9994,347.5,"PA","TAMAQUA 4 N DAM","","","PRCP",1931,2022
"USC00368868",22.048,41.8975,-77.1419,374.9,"PA","TIOGA HAMMOND DAM","","","TMAX",1973,2023
"USC00368873",29.857,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",35.795,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",22.019,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369022",31.761,40.6644,-78.2192,271.3,"PA","TYRONE","","","PRCP",1972,2023
"USC00369042",37.924,41.9003,-79.8611,378,"PA","UNION CITY FILTRATION PLT","","","TMAX",2012,2023
"USC00369298",32.69,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USC00369408",28.952,41.7003,-77.3872,554.1,"PA","WELLSBORO 4 SW","","HCN","TMAX",1926,2023
"USC00369714",28.081,40.4667,-78.2,257.6,"PA","WILLIAMSBURG","","","TOBS",1971,2022
"USC00369735",29.133,41.2486,-76.9833,160,"PA","WILLIAMSPORT 2","","","TMAX",1999,2023
"USW00004725",29.58,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00004751",27.463,41.7983,-78.6356,642.2,"PA","BRADFORD RGNL AP","","","TMAX",1957,2023
"USW00004787",27.872,41.1794,-78.8933,550.5,"PA","DUBOIS RGNL AP","","","TMAX",1962,2023
"USW00004789",27.659,41.5092,-74.2644,108.2,"NY","MONTGOMERY ORANGE CO AP","","","TMAX",1998,2023
"USW00014737",35.035,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014747",16.002,42.4933,-79.2761,203.9,"NY","DUNKIRK CHAUTAUQUA CO AP","","","TMAX",1945,2023
"USW00014748",17.471,42.1567,-76.9028,285.3,"NY","ELMIRA CORNING RGNL AP","","","TMAX",1938,2023
"USW00014770",25.095,40.8192,-76.8658,135.3,"PA","SELINSGROVE PENN VALLEY AP","","","TMAX",1997,2023
"USW00014777",27.16,41.3336,-75.7228,289.9,"PA","WILKES-BARRE/SCRANTON INTL AP","","72513","TMAX",1949,2023
"USW00014778",29.084,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
"USW00054743",27.927,40.8764,-74.2828,52.1,"NJ","CALDWELL ESSEX CO AP","","","TMAX",1999,2023
"USW00054757",22.589,42.1078,-77.9842,637.6,"NY","WELLSVILLE MUNI AP","","","TMAX",2000,2023
"USW00054779",33.206,41.0092,-74.7364,176.8,"NJ","AEROFLEX-ANDOVER AP","","","TMAX",1998,2023
"USW00054785",30.182,40.6242,-74.6689,30.2,"NJ","SOMERSET AP","","","TMAX",1999,2023
"USW00054789",29.575,41.1369,-75.3772,574.5,"PA","MT POCONO POCONO MOUNTAINS MUN","","","TMAX",1999,2023
"USW00054792",28.097,41.0464,-78.4111,459.9,"PA","CLEARFIELD LAWRENCE AP","","","TMAX",2000,2023
"USW00054793",24.913,41.1992,-74.6258,127.4,"NJ","SUSSEX AP","","","TMAX",2000,2023
"USW00064758",29.448,42.44,-76.2461,374.3,"NY","ITHACA 13 E","","CRN","TMAX",2004,2023
